file,profile,policy,seed,belief_ttl,max_observations,sensor_mode,device,learned_model,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,viewpoint_travel,brier_score,final_entropy,information_gain_per_meter,unresolved_gate_entries,dynamic_intercepted,avg_sensor_corruption_ms,avg_perception_ms,elapsed_seconds,simulation_steps
fixed-multiview__dynamic-change__seed-20009.json,dynamic-change,fixed-multiview,20009,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,13.37600000000001,8.320000000000006,0.00138150547590137,0.06383101860213303,0.11530781804408458,0,False,118.5504122575124,14.099022805690765,3.0768233872950077,866
fixed-multiview__dynamic-change__seed-20010.json,dynamic-change,fixed-multiview,20010,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,10.800000000000008,7.0560000000000045,8.429962133812701e-05,0.002735654437980172,0.14133564988123853,0,False,116.84136839707692,14.349909206231436,2.877339730039239,705
fixed-multiview__dynamic-change__seed-20011.json,dynamic-change,fixed-multiview,20011,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,13.37600000000001,8.320000000000006,0.020703663569022385,0.035263961075118554,0.1159538508323174,0,False,111.00921845436096,251.26897623141608,3.7732163574546576,866
fixed-multiview__dynamic-change__seed-20012.json,dynamic-change,fixed-multiview,20012,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,9.056000000000006,5.312000000000004,0.00018413163072083952,0.029776684607469565,0.1902556834179455,0,False,132.47096971670786,14.746492286523184,2.8309460133314133,596
fixed-multiview__dynamic-change__seed-20013.json,dynamic-change,fixed-multiview,20013,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,8.752000000000006,5.312000000000004,0.0022358859547312736,0.3281377461372763,0.14931664776281794,0,False,101.84120257695515,14.27721873919169,2.6255847178399563,577
fixed-multiview__dynamic-change__seed-20014.json,dynamic-change,fixed-multiview,20014,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,11.568000000000008,8.320000000000006,0.012339882061464169,0.5611817825353581,0.06833265549114675,0,False,101.19108152389526,13.480234722296396,2.7406984120607376,753
fixed-multiview__dynamic-change__seed-20015.json,dynamic-change,fixed-multiview,20015,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,8.752000000000006,5.312000000000004,0.03206802888904219,0.2321703038159717,0.15253193653049332,0,False,101.68204355239868,148.0629857381185,3.126464992761612,577
fixed-multiview__dynamic-change__seed-20016.json,dynamic-change,fixed-multiview,20016,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,11.568000000000008,8.320000000000006,0.003823813357576675,0.04008897681991758,0.11730802526437278,0,False,147.59852981567383,14.204556624094645,2.8543286956846714,753
fixed-multiview__dynamic-change__seed-20017.json,dynamic-change,fixed-multiview,20017,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,True,3,0,0,13.26400000000001,7.680000000000005,0.001263400052533652,0.015074805656076499,0.13605847519427014,0,False,99.41775675614674,14.079536378383636,2.9635824263095856,859
fixed-multiview__dynamic-change__seed-20018.json,dynamic-change,fixed-multiview,20018,60,4,camera-rgbd-corrupted,cuda:0,,True,False,True,False,3,0,0,11.568000000000008,8.320000000000006,0.00014239237556914696,0.003746423242709811,0.12431093552919024,0,False,106.90098142623901,13.927965700626373,2.903275780379772,753
