file,scenario,policy,seed,noise_profile,noise_rate,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,path_length,elapsed_seconds,simulation_steps
majority-vote__clear__noise-0.0__seed-07.json,clear,majority-vote,7,random,0.0,True,True,False,False,3,4.640001406893134,0.9326320998370647,350
majority-vote__clear__noise-0.0__seed-08.json,clear,majority-vote,8,random,0.0,True,True,False,False,3,4.640001406893134,0.9214869756251574,350
majority-vote__clear__noise-0.0__seed-09.json,clear,majority-vote,9,random,0.0,True,True,False,False,3,4.640001406893134,1.216701939702034,350
majority-vote__clear__noise-0.0__seed-10.json,clear,majority-vote,10,random,0.0,True,True,False,False,3,4.640001406893134,0.9477643873542547,350
majority-vote__clear__noise-0.0__seed-11.json,clear,majority-vote,11,random,0.0,True,True,False,False,3,4.640001406893134,1.235102703794837,350
majority-vote__clear__noise-0.0__seed-12.json,clear,majority-vote,12,random,0.0,True,True,False,False,3,4.640001406893134,0.920173367485404,350
majority-vote__clear__noise-0.0__seed-13.json,clear,majority-vote,13,random,0.0,True,True,False,False,3,4.640001406893134,0.9545516520738602,350
majority-vote__clear__noise-0.0__seed-14.json,clear,majority-vote,14,random,0.0,True,True,False,False,3,4.640001406893134,1.013501601293683,350
majority-vote__clear__noise-0.0__seed-15.json,clear,majority-vote,15,random,0.0,True,True,False,False,3,4.640001406893134,1.010113101452589,350
majority-vote__clear__noise-0.0__seed-16.json,clear,majority-vote,16,random,0.0,True,True,False,False,3,4.640001406893134,0.9223243165761232,350
majority-vote__clear__noise-0.0__seed-17.json,clear,majority-vote,17,random,0.0,True,True,False,False,3,4.640001406893134,0.9344769958406687,350
majority-vote__clear__noise-0.0__seed-18.json,clear,majority-vote,18,random,0.0,True,True,False,False,3,4.640001406893134,0.9886058084666729,350
majority-vote__clear__noise-0.0__seed-19.json,clear,majority-vote,19,random,0.0,True,True,False,False,3,4.640001406893134,0.9978751800954342,350
majority-vote__clear__noise-0.1__seed-00.json,clear,majority-vote,0,random,0.1,True,True,False,False,3,4.640001406893134,0.874325992539525,350
majority-vote__clear__noise-0.1__seed-01.json,clear,majority-vote,1,random,0.1,True,True,False,False,3,4.640001406893134,0.9116916134953499,350
