policy,profile,episodes,completed_episodes,failed_episodes,unsafe_crossing_count,unsafe_crossing_denominator,unsafe_crossing_rate,unsafe_crossing_wilson_ci95_low,unsafe_crossing_wilson_ci95_high,safe_success_count,safe_success_denominator,safe_success_rate,safe_success_wilson_ci95_low,safe_success_wilson_ci95_high,wrong_detour_count,wrong_detour_denominator,wrong_detour_rate,wrong_detour_wilson_ci95_low,wrong_detour_wilson_ci95_high,contract_repair_success_count,contract_repair_success_denominator,contract_repair_success_rate,contract_repair_success_wilson_ci95_low,contract_repair_success_wilson_ci95_high,plan_invalidation_correct_count,plan_invalidation_correct_denominator,plan_invalidation_correct_rate,plan_invalidation_correct_wilson_ci95_low,plan_invalidation_correct_wilson_ci95_high,echo_rejection_success_count,echo_rejection_success_denominator,echo_rejection_success_rate,echo_rejection_success_wilson_ci95_low,echo_rejection_success_wilson_ci95_high,calibration_samples,brier_score,ece_10_bin,conformal_samples,conformal_covered_count,conformal_coverage,conformal_coverage_wilson_ci95_low,conformal_coverage_wilson_ci95_high,conformal_miscoverage,conformal_miscoverage_wilson_ci95_low,conformal_miscoverage_wilson_ci95_high,avg_observation_count,avg_replan_count,avg_path_length
purify-active,time-skew,2,2,0,0,2,0.0,0.0,0.6576197724933469,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,2,2,1.0,0.34238022750665303,1.0,0,0,,,,0,0,,,,2,0.38178758570981597,0.35070794839416636,2,1,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423068,0.9054687942657693,2.0,0.0,4.707488611191598
purify-passive,dynamic-change,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.26854185369313,0.4599239619610553,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,evidence-echo,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,2,2,1.0,0.34238022750665303,1.0,2,0.2973455351446876,0.20737574662745956,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,independent-noise,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.29248662514385787,0.5024805176441605,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,ood-severity,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.1755911774597863,0.40904586989259784,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,pose-calibration-drift,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.29461200866971904,0.20684772188653527,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,shared-occlusion,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.25,0.0,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,structured-depth-dropout,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.14338802625868058,0.3458854166666667,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
purify-passive,time-skew,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.29752907453550037,0.5054253279971601,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
v3-logodds,dynamic-change,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.24631765850359527,0.38273948916629963,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
